epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.659,1.48898,2.56672,1.60145,0.60916,0.59896,0.55761,0.3382,1.27899,1.48322,1.31936,0.00332828,0.00332828,0.00332828
2,417.948,1.35939,1.72036,1.4128,0.61942,0.53562,0.51525,0.30795,1.31569,1.52195,1.3761,0.00662864,0.00662864,0.00662864
3,608.33,1.44756,1.806,1.4829,0.55861,0.41968,0.37739,0.20436,1.61132,1.85564,1.62522,0.009896,0.009896,0.009896
4,798.535,1.48256,1.86641,1.52134,0.66589,0.52546,0.53611,0.29969,1.47545,1.58299,1.55085,0.0098515,0.0098515,0.0098515
5,988.005,1.44699,1.75829,1.49784,0.60705,0.59813,0.58107,0.32933,1.38467,1.4482,1.48113,0.009802,0.009802,0.009802
6,1177.91,1.41058,1.63951,1.46931,0.68782,0.54648,0.60028,0.34752,1.31159,1.39464,1.39253,0.0097525,0.0097525,0.0097525
7,1366.97,1.36973,1.54471,1.44414,0.64244,0.60482,0.64826,0.38283,1.38511,1.33871,1.4367,0.009703,0.009703,0.009703
8,1556.5,1.33467,1.47167,1.41043,0.66053,0.66341,0.70745,0.39388,1.31623,1.26575,1.38953,0.0096535,0.0096535,0.0096535
9,1746.44,1.32334,1.41643,1.40533,0.64651,0.781,0.75144,0.46153,1.32406,1.16795,1.41866,0.009604,0.009604,0.009604
10,1935.89,1.29538,1.37578,1.38787,0.76291,0.6362,0.74872,0.47889,1.19591,1.11444,1.29631,0.0095545,0.0095545,0.0095545
11,2125.58,1.2831,1.3275,1.37337,0.51225,0.73659,0.68368,0.41464,1.30241,1.24697,1.39039,0.009505,0.009505,0.009505
12,2314.73,1.25788,1.29404,1.35624,0.68996,0.67912,0.72115,0.44009,1.25989,1.14943,1.34848,0.0094555,0.0094555,0.0094555
13,2503.75,1.25616,1.28853,1.35847,0.71536,0.71224,0.76318,0.50425,1.16995,1.05732,1.2818,0.009406,0.009406,0.009406
14,2692.95,1.23556,1.23772,1.33996,0.60409,0.77434,0.75119,0.46525,1.27319,1.07128,1.36067,0.0093565,0.0093565,0.0093565
15,2881.8,1.21806,1.19462,1.32519,0.76356,0.7044,0.78459,0.51749,1.19857,1.02165,1.32989,0.009307,0.009307,0.009307
16,3071.25,1.21096,1.18479,1.32627,0.73228,0.76069,0.78199,0.50429,1.23796,1.07803,1.33871,0.0092575,0.0092575,0.0092575
17,3259.9,1.19424,1.15015,1.31079,0.68249,0.76027,0.77816,0.49817,1.21242,1.02763,1.30854,0.009208,0.009208,0.009208
18,3448.99,1.18935,1.14095,1.3086,0.77041,0.81297,0.85042,0.5478,1.14518,0.99053,1.27219,0.0091585,0.0091585,0.0091585
19,3638.16,1.17856,1.11679,1.29724,0.77979,0.70412,0.83623,0.54293,1.18998,1.02379,1.30893,0.009109,0.009109,0.009109
20,3827.26,1.17068,1.09373,1.29461,0.7237,0.79871,0.81706,0.53878,1.18774,0.95225,1.29513,0.0090595,0.0090595,0.0090595
21,4016.9,1.15846,1.07024,1.28693,0.72178,0.74235,0.80325,0.53028,1.16436,0.96489,1.29127,0.00901,0.00901,0.00901
22,4206.76,1.15073,1.06009,1.28739,0.78811,0.73547,0.82119,0.53964,1.18682,0.98668,1.286,0.0089605,0.0089605,0.0089605
23,4396.72,1.13424,1.04069,1.27129,0.75491,0.73137,0.81895,0.55525,1.13247,0.97346,1.25416,0.008911,0.008911,0.008911
24,4585.72,1.12973,1.03851,1.27685,0.79697,0.77204,0.8566,0.58097,1.14517,0.8831,1.26788,0.0088615,0.0088615,0.0088615
25,4775.31,1.12611,1.01148,1.26424,0.79028,0.7734,0.84791,0.57298,1.14567,0.89461,1.25326,0.008812,0.008812,0.008812
26,4963.87,1.11907,1.02223,1.25981,0.7687,0.74337,0.82986,0.57064,1.10755,0.952,1.23287,0.0087625,0.0087625,0.0087625
27,5153.37,1.10748,0.97082,1.24861,0.80097,0.74554,0.84095,0.55063,1.17972,0.91089,1.29133,0.008713,0.008713,0.008713
28,5343.19,1.10669,0.97829,1.24451,0.77662,0.84667,0.86611,0.58609,1.10793,0.87823,1.23151,0.0086635,0.0086635,0.0086635
29,5533.04,1.09147,0.96263,1.24521,0.82535,0.79361,0.85018,0.57469,1.10031,0.88662,1.23959,0.008614,0.008614,0.008614
30,5722.43,1.0894,0.95131,1.23695,0.76672,0.75679,0.8371,0.56693,1.14404,0.92487,1.24431,0.0085645,0.0085645,0.0085645
31,5911.34,1.08274,0.94714,1.23314,0.76532,0.78666,0.86821,0.5925,1.11743,0.89354,1.23057,0.008515,0.008515,0.008515
32,6100.83,1.08011,0.93215,1.23462,0.76716,0.82601,0.85869,0.57309,1.13424,0.90174,1.25729,0.0084655,0.0084655,0.0084655
33,6290.25,1.08003,0.9308,1.23304,0.77874,0.76934,0.85785,0.58987,1.08266,0.88383,1.21584,0.008416,0.008416,0.008416
34,6480.47,1.06031,0.91102,1.22224,0.75821,0.8019,0.85485,0.57975,1.10969,0.88992,1.24804,0.0083665,0.0083665,0.0083665
35,6669.43,1.06247,0.90272,1.2277,0.7695,0.8168,0.86624,0.58467,1.11889,0.89068,1.23536,0.008317,0.008317,0.008317
36,6858.62,1.05359,0.90417,1.22015,0.76774,0.83436,0.87508,0.59555,1.08348,0.88642,1.22374,0.0082675,0.0082675,0.0082675
37,7053.51,1.05417,0.89312,1.21887,0.7704,0.78842,0.86101,0.58367,1.09335,0.87252,1.22059,0.008218,0.008218,0.008218
38,7243.07,1.04793,0.88363,1.2142,0.74494,0.83138,0.87018,0.58875,1.10789,0.88733,1.23672,0.0081685,0.0081685,0.0081685
39,7431.91,1.04389,0.87659,1.21076,0.75692,0.81357,0.86014,0.59745,1.07971,0.88747,1.21933,0.008119,0.008119,0.008119
40,7620.76,1.03066,0.8626,1.20726,0.75626,0.83766,0.86778,0.60701,1.06222,0.89187,1.20289,0.0080695,0.0080695,0.0080695
41,7809.25,1.02327,0.85469,1.19773,0.78303,0.79196,0.86505,0.59724,1.0851,0.90233,1.22269,0.00802,0.00802,0.00802
42,7997.86,1.01796,0.846,1.20014,0.79247,0.80553,0.87304,0.61414,1.05476,0.85813,1.20969,0.0079705,0.0079705,0.0079705
43,8186.78,1.02264,0.84127,1.20152,0.75547,0.8662,0.87742,0.61462,1.08482,0.86227,1.22217,0.007921,0.007921,0.007921
